Transaction Date/Time,Product SKU,Quantity Sold,Total Sales Amount,Outlet ID/Location,Inventory Data,Historical Sales Data
2024-04-27 05:10:22,SKU3456,13,5395,Outlet_001_Town_A,51 units available,2023-09 Sales: 100 units
2024-07-14 16:03:18,SKU5678,8,1008,Outlet_003_Town_C,13 units available,2023-09 Sales: 100 units
2023-08-06 22:41:22,SKU1234,1,472,Outlet_003_Town_C,36 units available,2023-09 Sales: 100 units
2024-04-30 12:45:12,SKU3456,20,8220,Outlet_003_Town_C,11 units available,2023-09 Sales: 100 units
2024-04-04 15:14:58,SKU4567,10,1240,Outlet_001_Town_A,72 units available,2023-09 Sales: 100 units
2023-04-26 17:47:03,SKU3456,6,852,Outlet_002_Town_B,68 units available,2023-09 Sales: 150 units
2024-03-31 03:50:18,SKU2345,12,3240,Outlet_003_Town_C,50 units available,2023-09 Sales: 150 units
2024-05-11 16:20:41,SKU3456,10,3780,Outlet_004_Town_D,25 units available,2023-09 Sales: 150 units
2023-11-19 15:53:59,SKU2345,7,1603,Outlet_004_Town_D,18 units available,2023-09 Sales: 100 units
2023-06-10 13:59:01,SKU2345,17,4658,Outlet_002_Town_B,26 units available,2023-09 Sales: 150 units
2024-04-26 08:06:59,SKU1234,17,4624,Outlet_003_Town_C,97 units available,2023-09 Sales: 90 units
2024-03-01 01:46:14,SKU4567,9,3690,Outlet_003_Town_C,90 units available,2023-09 Sales: 100 units
2024-02-14 07:28:17,SKU4567,14,2842,Outlet_002_Town_B,57 units available,2023-09 Sales: 150 units
2023-01-14 20:14:19,SKU2345,2,552,Outlet_001_Town_A,5 units available,2023-09 Sales: 150 units
2024-03-24 02:35:41,SKU4567,9,3249,Outlet_002_Town_B,47 units available,2023-09 Sales: 90 units
2024-06-27 09:52:39,SKU5678,17,5610,Outlet_004_Town_D,27 units available,2023-09 Sales: 90 units
2023-11-21 23:48:11,SKU5678,15,4035,Outlet_002_Town_B,39 units available,2023-09 Sales: 100 units
2024-01-29 13:33:36,SKU2345,11,5137,Outlet_001_Town_A,55 units available,2023-09 Sales: 90 units
2023-12-01 22:11:17,SKU4567,18,6804,Outlet_001_Town_A,80 units available,2023-09 Sales: 90 units
2024-09-05 13:50:33,SKU1234,17,3332,Outlet_002_Town_B,20 units available,2023-09 Sales: 90 units
2023-10-21 01:04:05,SKU2345,11,1364,Outlet_003_Town_C,57 units available,2023-09 Sales: 120 units
2023-10-19 07:07:06,SKU5678,12,5256,Outlet_002_Town_B,97 units available,2023-09 Sales: 150 units
2023-09-12 13:37:35,SKU4567,12,5328,Outlet_004_Town_D,75 units available,2023-09 Sales: 150 units
2023-01-30 23:01:21,SKU1234,12,5784,Outlet_004_Town_D,41 units available,2023-09 Sales: 100 units
2023-03-08 11:07:19,SKU3456,20,9320,Outlet_001_Town_A,52 units available,2023-09 Sales: 150 units
2024-10-02 20:05:56,SKU2345,9,3384,Outlet_001_Town_A,52 units available,2023-09 Sales: 120 units
2024-02-05 07:01:59,SKU2345,6,1002,Outlet_001_Town_A,82 units available,2023-09 Sales: 120 units
2023-02-01 07:57:34,SKU4567,1,391,Outlet_002_Town_B,0 units available,2023-09 Sales: 90 units
2023-10-26 22:42:32,SKU4567,20,3440,Outlet_001_Town_A,78 units available,2023-09 Sales: 120 units
2023-11-01 01:41:24,SKU4567,17,7123,Outlet_002_Town_B,57 units available,2023-09 Sales: 100 units
2024-02-06 05:56:39,SKU1234,13,4277,Outlet_001_Town_A,27 units available,2023-09 Sales: 100 units
2023-12-17 00:52:22,SKU5678,14,3864,Outlet_003_Town_C,39 units available,2023-09 Sales: 120 units
2023-04-05 15:58:36,SKU2345,16,5216,Outlet_004_Town_D,72 units available,2023-09 Sales: 90 units
2023-06-30 03:31:49,SKU5678,1,146,Outlet_001_Town_A,52 units available,2023-09 Sales: 150 units
2024-05-21 21:25:07,SKU4567,5,830,Outlet_002_Town_B,72 units available,2023-09 Sales: 100 units
2023-12-14 19:00:55,SKU5678,1,361,Outlet_003_Town_C,40 units available,2023-09 Sales: 120 units
2023-06-13 14:44:11,SKU5678,1,371,Outlet_001_Town_A,22 units available,2023-09 Sales: 100 units
2023-01-12 07:59:19,SKU1234,10,3410,Outlet_003_Town_C,21 units available,2023-09 Sales: 120 units
2023-09-15 10:52:37,SKU5678,13,3913,Outlet_001_Town_A,35 units available,2023-09 Sales: 120 units
2023-09-20 09:54:07,SKU1234,2,322,Outlet_001_Town_A,55 units available,2023-09 Sales: 150 units
2023-03-01 21:22:02,SKU1234,1,477,Outlet_003_Town_C,97 units available,2023-09 Sales: 150 units
2023-04-06 02:54:30,SKU3456,11,2772,Outlet_002_Town_B,15 units available,2023-09 Sales: 90 units
2023-04-03 01:55:51,SKU1234,14,6720,Outlet_003_Town_C,83 units available,2023-09 Sales: 120 units
2024-09-03 14:05:00,SKU5678,2,838,Outlet_004_Town_D,76 units available,2023-09 Sales: 100 units
2023-08-14 06:29:01,SKU3456,12,4152,Outlet_004_Town_D,51 units available,2023-09 Sales: 100 units
2024-06-05 23:41:44,SKU2345,18,5724,Outlet_003_Town_C,35 units available,2023-09 Sales: 120 units
2024-03-03 09:13:13,SKU3456,14,6748,Outlet_001_Town_A,70 units available,2023-09 Sales: 90 units
2024-03-06 20:46:41,SKU2345,19,2090,Outlet_002_Town_B,94 units available,2023-09 Sales: 100 units
2024-07-06 17:43:41,SKU1234,18,7200,Outlet_002_Town_B,13 units available,2023-09 Sales: 100 units
2023-11-05 02:39:55,SKU4567,6,738,Outlet_002_Town_B,27 units available,2023-09 Sales: 100 units
2024-07-27 23:22:40,SKU5678,5,1120,Outlet_003_Town_C,0 units available,2023-09 Sales: 120 units
2023-04-09 03:50:54,SKU5678,7,1736,Outlet_002_Town_B,37 units available,2023-09 Sales: 150 units
2023-12-19 02:11:40,SKU4567,1,398,Outlet_003_Town_C,58 units available,2023-09 Sales: 120 units
2024-01-26 05:41:08,SKU1234,14,5656,Outlet_003_Town_C,82 units available,2023-09 Sales: 150 units
2024-03-03 11:53:04,SKU2345,5,575,Outlet_003_Town_C,60 units available,2023-09 Sales: 150 units
2023-09-13 04:08:32,SKU2345,2,206,Outlet_002_Town_B,4 units available,2023-09 Sales: 150 units
2023-04-08 20:33:52,SKU1234,2,712,Outlet_001_Town_A,8 units available,2023-09 Sales: 90 units
2023-10-02 18:29:01,SKU2345,10,2560,Outlet_001_Town_A,29 units available,2023-09 Sales: 150 units
2023-03-20 07:24:16,SKU1234,10,1170,Outlet_004_Town_D,74 units available,2023-09 Sales: 120 units
2023-06-16 14:15:28,SKU3456,12,1440,Outlet_001_Town_A,56 units available,2023-09 Sales: 120 units
